brw_ord_no,pkg_amt,loan_amt,dep_prov_no,dep_city_no,pkg_typ,in_come,usr_job,schooling,marital_sta,gender,age,target
50620220912175832006625126,239,1240,27,931,01,002,011,004,1,女,32,good
50620220912182557006656289,399,1930,27,930,01,002,,004,1,男,44,good
50620220930094719060651452,166,1460,22,826,01,003,006,006,1,男,40,good
50620220911095351001349701,88,507,09,210,01,003,003,004,1,男,49,good
50620220916105820019215378,67,1307,31,230,01,003,003,006,1,男,33,good
50620220918124306028993224,99,2010,22,816,01,003,017,004,1,男,37,good
50620220910102811997646677,199,1209,31,230,01,003,005,006,1,男,59,good
50620220923092502043817832,88,439,09,210,01,002,007,005,1,女,56,good
50620220926180239053106901,0,1200,22,280,01,001,001,006,1,男,57,good
50620220905092607968012561,158,917,09,210,01,004,004,003,0,男,36,good
50620220905111754968694556,64,1300,22,826,01,003,001,005,1,男,59,good
50620220901161828955183220,128,1240,17,716,01,005,012,005,1,女,44,good
50620220918174629029489347,0,950,22,830,01,007,005,003,1,男,50,good
50620220901103102954814569,0,950,22,830,01,003,,006,1,男,51,good
50620220901174434955249418,0,950,22,836,01,003,008,006,1,男,31,good
50620220929094450058786742,131,950,22,833,01,002,017,005,1,女,51,good
50620220917194419026242285,128,1240,17,712,01,001,021,006,1,男,38,good
50620220926162902053021796,158,1502,09,210,01,002,,006,1,男,44,good
50620220912100519005075201,0,200,15,533,01,003,006,003,1,男,40,good
50620220912103451005546940,199,1209,31,230,01,003,006,006,1,女,34,good
50620220901100311954800720,99,580,17,717,01,002,008,006,1,男,57,good
50620220927134249055438225,49,990,22,830,01,001,008,006,1,女,51,good
50620220909112725994310986,72,1404,31,230,01,003,009,003,1,男,40,good
50620220924135923047512916,158,917,09,210,01,003,007,006,1,男,58,good
